started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2023-01-01 02:30:09.582000+00:00,2023-01-01 02:32:24.300000+00:00,134,2339,Elgsletta,langs Nylandsveien,59.91564920880896,10.761724502548105,480,Helga Helgesens plass,langs Grønlandsleiret,59.9121109,10.7661939
2023-01-01 05:45:38.212000+00:00,2023-01-01 05:52:43.416000+00:00,425,421,Alexander Kiellands Plass,langs Maridalsveien,59.92806670615684,10.751202636819613,380,Bentsebrugata,rett over busstoppet,59.93923,10.75917
2023-01-01 05:45:40.335000+00:00,2023-01-01 05:51:25.149000+00:00,344,499,Bjerregaards gate,ovenfor Fredrikke Qvams gate,59.925488,10.746058,423,Schous plass,nærmest rundkjøringen,59.920335,10.760804
2023-01-01 06:55:26.424000+00:00,2023-01-01 07:02:19.627000+00:00,413,478,Jernbanetorget,Europarådets plass,59.911901,10.749929,597,Fredensborg,ved rundkjøringen,59.920995,10.750358
2023-01-01 07:54:26.620000+00:00,2023-01-01 08:00:16.978000+00:00,350,511,Henrik Ibsens gate,ved Parkveien,59.915088,10.7222803,387,Studenterlunden,langs Karl Johan,59.914586,10.735453
2023-01-01 08:05:21.431000+00:00,2023-01-01 08:10:28.624000+00:00,307,440,Lakkegata,ved Sundtkvartalet,59.9172088,10.7622135,2333,Akerselvallmenningen,øst for Operaen,59.90725889890288,10.754884663589621
2023-01-01 08:09:58.183000+00:00,2023-01-01 08:23:54.223000+00:00,836,447,Kværnerbyen,langs Smeltedigelen,59.904473,10.786167,441,Vippetangen øst,nærmest Operaen,59.903989,10.741077
2023-01-01 08:20:56.737000+00:00,2023-01-01 08:46:25.396000+00:00,1528,2306,Økern Portal,ved Dag Hammarskjölds vei,59.930903961728745,10.80193969590286,570,Frøen T-bane,langs Slemdalsveien,59.9347352,10.7096985
2023-01-01 10:09:04.202000+00:00,2023-01-01 10:21:14.299000+00:00,730,425,Adamstuen,ved trikkestoppen,59.932792,10.734457,575,Sognsveien,ved Ullevål Stadion T-bane,59.94743324225673,10.732569703704815
2023-01-01 10:32:24.007000+00:00,2023-01-01 10:45:08.587000+00:00,764,448,Oslo Plaza,ved rundkjøringen,59.91218291295141,10.7544337247013,421,Alexander Kiellands Plass,langs Maridalsveien,59.92806670615684,10.751202636819613
