start_station_id,end_station_id,start_station_name,end_station_name,count
479,456,Tjuvholmen,Frognerstranda,1465
456,479,Frognerstranda,Tjuvholmen,1352
464,443,Sukkerbiten,Sjoesiden ved trappen,1285
390,1755,Saga Kino,Aker Brygge,1033
390,479,Saga Kino,Tjuvholmen,977
443,464,Sjoesiden ved trappen,Sukkerbiten,880
452,443,Vippetangen vest,Sjoesiden ved trappen,848
443,452,Sjoesiden ved trappen,Vippetangen vest,834
447,443,Kvaernerbyen,Sjoesiden ved trappen,807
551,489,Olaf Ryes plass,Torggata,751
1755,390,Aker Brygge,Saga Kino,750
479,390,Tjuvholmen,Saga Kino,722
478,452,Jernbanetorget,Vippetangen vest,716
1755,1755,Aker Brygge,Aker Brygge,699
447,465,Kvaernerbyen,Bjoervika,662
739,1755,Hammersborg Torg,Aker Brygge,643
418,418,Norsk Folkemuseum,Norsk Folkemuseum,641
408,507,Toeyen skole,Jens Bjelkes Gate,631
398,421,Ringnes Park,Alexander Kiellands Plass,585
489,551,Torggata,Olaf Ryes plass,579
603,603,Frogner plass,Frogner plass,567
421,489,Alexander Kiellands Plass,Torggata,562
537,1755,St. Olavs gate,Aker Brygge,561
460,507,Botanisk Hage soer,Jens Bjelkes Gate,558
456,534,Frognerstranda,Filipstadveien,552
443,443,Sjoesiden ved trappen,Sjoesiden ved trappen,550
480,437,Helga Helgesens plass,Sentrum Scene,547
440,495,Lakkegata,Vaterlandsparken,544
464,464,Sukkerbiten,Sukkerbiten,532
735,465,Oslo Hospital,Bjoervika,515
551,1755,Olaf Ryes plass,Aker Brygge,513
464,599,Sukkerbiten,Paléhaven,507
443,1755,Sjoesiden ved trappen,Aker Brygge,506
599,464,Paléhaven,Sukkerbiten,502
507,460,Jens Bjelkes Gate,Botanisk Hage soer,500
735,443,Oslo Hospital,Sjoesiden ved trappen,498
551,396,Olaf Ryes plass,Kirkeristen,494
385,396,Soendre gate,Kirkeristen,488
1755,443,Aker Brygge,Sjoesiden ved trappen,487
423,489,Schous plass,Torggata,483
521,480,Jess Carlsens gate,Helga Helgesens plass,481
2315,443,Rostockgata,Sjoesiden ved trappen,472
